#{"t_start": 1760363941.1958025, "env_id": "LunarLander-v3"}
r,l,t
-217.879385,109,121.868027
-222.105978,147,122.021798
-505.741611,83,122.12915
-118.512198,85,122.219669
-153.22735,114,122.344189
40.673299,80,122.434438
-94.061868,112,122.558167
-143.679298,84,122.648499
-99.513036,84,122.739568
-93.671283,90,122.838015
-102.737025,79,122.924582
-110.40219,121,123.049291
-206.856125,101,123.182345
-176.61136,128,123.314966
-310.293182,86,123.412838
-154.463717,124,123.547813
-127.33243,107,123.664046
-98.522533,110,123.783945
-115.034763,95,123.887798
-80.473892,70,123.958776
-145.882556,135,124.130343
-387.963006,89,124.240261
-106.119386,120,124.375579
-92.119996,66,124.449291
-12.641507,95,124.552871
-85.67158,1000,125.041991
-86.895539,1000,125.517643
-64.466803,1000,125.984383
-37.588399,1000,126.458024
-75.391259,1000,126.911104
-43.314266,77,127.010094
-107.758568,77,127.116613
-98.11015,77,127.250717
-121.438013,112,127.441688
-138.490205,82,127.574554
-5.532211,121,127.757695
-103.109593,89,127.887515
-90.46074,106,128.066284
-128.969756,112,128.239758
-103.816723,104,128.41833
-116.987215,67,128.520679
-90.170184,65,128.631103
-77.405285,144,128.874013
-93.273242,98,129.030347
-35.221353,60,129.136749
-117.286515,75,129.275685
-145.469495,66,129.382783
-72.136807,113,129.565667
-262.60777,101,129.670328
-150.942639,128,129.811296
-139.738976,102,129.915917
-106.810946,76,129.995706
-88.528098,138,130.150481
-90.137184,71,130.232578
-112.086501,69,130.305735
-94.422167,144,130.461435
-150.346345,81,130.561514
-47.337553,69,130.639699
-122.392599,100,130.745935
-123.768287,89,130.843257
-137.356355,77,130.932796
-323.986144,110,131.049746
-58.217912,65,131.121487
19.995004,122,131.25091
-103.017939,106,131.362516
34.799339,104,131.478908
-87.680155,98,131.597673
-348.332184,114,131.725208
-103.862809,125,131.86153
-256.322996,99,131.975146
-122.544009,97,132.076273
-295.20144,101,132.183437
-105.055888,65,132.252754
-233.298856,87,132.349751
-136.064107,108,132.462051
-230.316029,133,132.595053
-390.258591,135,132.75055
-101.230937,81,132.838501
-75.153004,62,132.90803
-66.903886,86,133.000234
-93.586547,73,133.07911
-125.922339,122,133.217936
-114.786872,95,133.321666
-109.792571,108,133.432389
-147.517251,89,133.521532
-74.714284,88,133.618237
-97.998908,79,133.714842
-109.229732,88,133.80546
-63.344175,101,133.91932
-95.094752,107,134.043493
-123.177838,80,134.125774
-111.784194,75,134.207808
-152.078839,128,134.34296
-118.977567,76,134.42856
-97.127022,135,134.572654
-93.004043,68,134.645586
-117.459912,135,134.806428
-9.709492,106,134.939341
-57.809314,147,135.108796
-59.632331,92,135.222981
-143.735926,102,135.339865
-52.501179,110,135.463002
-178.168781,122,135.604691
-153.2904,104,135.731371
-92.736927,97,135.847956
-129.581399,80,135.942972
-88.913748,93,136.045422
-113.971795,106,136.164
-49.483539,70,136.240612
-319.721256,95,136.352806
50.60525,1000,137.475027
-137.285566,78,137.556863
-38.257821,117,137.680963
-79.67201,72,137.76445
-90.739701,66,137.847546
-115.593014,124,137.983185
-102.65835,76,138.068257
-101.244049,99,138.187381
-73.549057,102,138.300202
-123.331484,84,138.393214
-88.5462,83,138.486003
-136.261504,79,138.575295
